,scale_,min_
ABBV,0.01457293364315864,-1.5281931847642065
ACN,0.005766539320350217,-1.382247706590532
AEP,0.030306763141068754,-2.1419661279053295
AIZ,0.014183353431611463,-1.728744447724422
ALLE,0.019082031721300893,-1.8013218039749697
AMAT,0.013058233176254236,-1.1714903689808034
AMP,0.0076797636072764635,-1.5028714741124376
AMZN,0.0005806425559074453,-1.1666153885055632
AVB,0.01342412754232115,-2.4455709965431884
AVY,0.010562740407067474,-1.3745311530811632
AXP,0.013217335430071385,-1.6146332235300478
BDX,0.01131200465695016,-2.115552474511807
BF-B,0.040027950730824574,-2.1824386039216916
BMY,0.04922260213172638,-2.828041602547354
BR,0.013376420186472537,-1.45675991705154
CDW,0.011047708311910305,-1.285452176214454
CE,0.015546271661940706,-1.677099245423693
CHTR,0.0029289437731151915,-1.4046921557682697
CNC,0.028066235476340903,-1.498175679705051
CNP,0.09442438953338507,-2.075640430790746
COP,0.02332817985152428,-1.489131313316484
CTAS,0.004986566018727966,-1.2744077924985606
DG,0.0095485362221531,-1.4734529045780351
DPZ,0.004018589471477702,-1.2613542850710515
DRE,0.03862013500524852,-1.5084984565127824
DXC,0.02401822018166262,-1.219277717611235
FB,0.006217165768196674,-1.376076367753523
GOOG,0.0007927138450105088,-1.3893821631643526
GPC,0.021900468675744047,-2.031382966258513
HIG,0.03987546674397041,-1.9887047474301394
HST,0.16401896006220537,-2.4837626741802814
JPM,0.015868455693640208,-1.6897042086056882
KR,0.04614471774131619,-1.8347451889422122
PG,0.01862376034866978,-2.043308746778376
PPL,0.12609052583453914,-3.104593318684564
PRU,0.023587458814917896,-1.8207803834950596
RE,0.01146266919138299,-2.499019999153453
ROL,0.058931393865725885,-1.4347648441798415
ROST,0.019505285819061063,-1.5651635434552968
UNH,0.0041894413656801514,-1.2874769209875327
URI,0.005723279301669277,-1.2480469258076496
V,0.009912863688046707,-1.4709363139990632
VRSK,0.011661289331728993,-1.6744861742163994
XOM,0.033109533111427655,-1.9021221151482832
IVV,0.006344225030637633,-2.0341354950319817
IWM,0.013003039154850073,-2.138296476078374
EWU,0.12170736381225068,-3.2305477618320646
EWG,0.10876640350251188,-2.868159156502733
EWL,0.06990171604441094,-2.706189016673134
EWQ,0.09479704551185021,-2.7691303704374715
IEUS,0.04659342956286133,-2.4418141122224393
EWJ,0.05579412889302787,-3.081796086361455
EWT,0.04139754618975939,-1.8055115663111803
MCHI,0.0315203932834715,-2.034676653062427
INDA,0.06822510531832919,-2.308917607938966
EWY,0.0354917452217899,-2.3440000552392277
EWA,0.13368523724094944,-2.593459064843605
EWH,0.14977469362510976,-3.1044430295717516
EWZ,0.06809758647758536,-1.9613064567062088
EWC,0.08254384445064933,-2.3562327027682106
IEMG,0.05290074340211327,-2.568152963029071
LQD,0.04797573980686646,-5.413295522863347
HYG,0.06581533674297134,-4.633687779357537
SHY,0.25353619272093164,-20.806044967314698
IEF,0.06346425693069031,-6.678019802076078
TLT,0.027037789928014817,-3.5092965609598803
SEGA.L,0.04733727810650889,-4.907692452154217
IAU,0.04185851593594087,-1.8497278415640865
SLV,0.12666244489118358,-2.4198860120619567
GSG,0.07581500693212372,-1.6012129919572327
ICLN,0.07643468846793854,-1.5250324596088167
IXN,0.03824202500497047,-1.5037801152126637
IGF,0.08169393119244005,-3.244816589966157
SPMV.L,0.038887808441228515,-2.2945751786113493
MVEU.L,0.07479431093718147,-3.2490649070556348
XLK,0.013948445016075665,-1.4594482445641124
XLF,0.07377201624639658,-2.0437277347866973
XLV,0.021900536372828093,-2.1280536502321166
XLE,0.03347594296508634,-1.7122207866547776
XLY,0.013050544974158184,-1.750794251993247
XLI,0.031247269600794627,-2.33392885090736
XLU,0.04354773574001199,-2.35143370268218
XLP,0.04404072066481086,-2.5483608505236495
XLB,0.034745892561094005,-2.1462406774431106
