,scale_,min_
ABBV,0.017390396367483307,-1.5786437064396754
ACN,0.005766539193500184,-1.3822476541867967
AEP,0.03331927786454321,-2.2181269154812995
AIZ,0.01699504075758838,-1.8732095559502318
ALLE,0.019159600420183345,-1.8013217978424034
AMAT,0.013058233257563294,-1.1714903825019156
AMP,0.0076797636072764635,-1.5028714741124376
AMZN,0.011612851066704543,-1.166615378907563
AVB,0.012929051886954838,-2.2781524650000113
AVY,0.010562739981456053,-1.3745310574026235
AXP,0.013217335430071385,-1.6146332235300478
BDX,0.011517646193536209,-2.1071121236776156
BF-B,0.040142204506741275,-2.1824383980497317
BMY,0.06418939475838685,-3.3838816899815125
BR,0.013141754436299013,-1.4022307354120398
CDW,0.010889756687607064,-1.2527765412946512
CE,0.015546269818018784,-1.6770989278966302
CHTR,0.002844221930988255,-1.3351346753362718
CNC,0.027764282413698098,-1.3863399887274857
CNP,0.11801557546374593,-2.3443804487857123
COP,0.027832992172740715,-1.5835855219579225
CTAS,0.004933398722044524,-1.2501579655285766
DG,0.010632241669347602,-1.5271872824528265
DPZ,0.0040302363662046824,-1.2613542113221132
DRE,0.038003408316155875,-1.4684401307853119
DXC,0.02401822018166262,-1.219277717611235
FB,0.00613421678684921,-1.3443749266696858
GOOG,0.0007927138450105088,-1.3893821631643526
GPC,0.021900468675744047,-2.031382966258513
HIG,0.041579810418530636,-2.0309636303946883
HST,0.18059426621609495,-2.633707659655892
JPM,0.015786975083108598,-1.6758932401473983
KR,0.06456753539473059,-2.168008991139649
PG,0.018656032496613247,-2.045117069372317
PPL,0.12720237650436084,-3.104592200663612
PRU,0.023836057274041922,-1.8294308530294083
RE,0.01132727993786727,-2.407986461743424
ROL,0.058931401317781476,-1.4347649272578722
ROST,0.019578663712360552,-1.5651637411055872
UNH,0.00458338843054247,-1.302222245068295
URI,0.005723279301669277,-1.2480469258076496
V,0.009862254465532766,-1.458321023260066
VRSK,0.011517980697768784,-1.6365535866380458
XOM,0.03744349423858344,-2.020207808650581
IVV,0.006251532811246654,-1.980515947962018
IWM,0.013037305052020363,-2.1382963226697194
EWU,0.12389282871430304,-3.2305480203219137
EWG,0.11203209024655317,-2.8681585246555303
EWL,0.0712983408171333,-2.7061886282051155
EWQ,0.097520145262399,-2.7691306985861024
IEUS,0.047577127210429206,-2.4418145095682307
EWJ,0.05633615758410242,-3.0817968583196484
EWT,0.04139754455539358,-1.805511455550215
MCHI,0.031697563379196,-2.034676525400801
INDA,0.06822510087929502,-2.3089173926458084
EWY,0.0354917452217899,-2.3440000552392277
EWA,0.1453933141393867,-2.6803495176647356
EWH,0.152023388302804,-3.104443879019321
EWZ,0.07128542819348148,-1.961306069216839
EWC,0.08733709709365536,-2.424598107725103
IEMG,0.05351289909321476,-2.568153166139206
LQD,0.04535545371371308,-5.0630212146923546
HYG,0.06581531195703166,-4.633684653458698
SHY,0.24958821524393843,-20.466490717943152
IEF,0.06036619388135532,-6.303209187753868
TLT,0.025673983192974443,-3.281844988468724
SEGA.L,0.04733727810650889,-4.907692452154217
IAU,0.04185851593594087,-1.8497278415640865
SLV,0.12666244489118358,-2.4198860120619567
GSG,0.07581500693212372,-1.6012129919572327
ICLN,0.07695746124103903,-1.5250325357480397
IXN,0.037989361757050005,-1.4786542705090322
IGF,0.09660893584010054,-3.618031623889101
SPMV.L,0.038066234586016774,-2.2249714405949126
MVEU.L,0.0736919640538592,-3.186440579100253
XLK,0.013797510491071823,-1.4328348369665636
XLF,0.07377202143658858,-2.043727948926586
XLV,0.021713810071503976,-2.062733308177373
XLE,0.03790796324412394,-1.8065147515277862
XLY,0.012947814347553765,-1.7291406875078812
XLI,0.03124727332543442,-2.333929248307972
XLU,0.04961816185534721,-2.52809426549788
XLP,0.046618046923209616,-2.602153922211967
XLB,0.03491569029693202,-2.151842176135742
