,mean_,scale_
ABBV,68.89321412956096,24.53072360078667
ACN,158.69021805213083,78.76613324857776
AEP,63.65180202002156,15.874835607207412
AIZ,94.70936775954767,30.948742706872252
ALLE,83.21806252878396,26.553575659473495
AMAT,50.39671879720735,37.449133889627
AMP,138.47201515294896,57.0484092811651
AMZN,77.74427899931366,52.51027557519536
AVB,159.96467377740186,31.195842959348003
AVY,99.33671839767291,49.50999200665889
AXP,96.19055494669018,32.14664029480723
BDX,188.76356485424733,50.38287912761354
BF-B,48.30457581549037,15.036518053600862
BMY,52.14521012226818,7.132566653007848
BR,91.51641048203486,41.827231885625395
CDW,83.2763827330452,49.65889842208948
CE,90.28616589126811,33.30486258857999
CHTR,366.8168754204013,178.9826708929896
CNC,47.749946088912324,17.472913720710533
CNP,21.232813249021973,4.230495677924306
COP,50.03955457633202,11.977702808624178
CTAS,184.46192050003515,109.52166199978365
DG,116.0525708810356,57.05844748905767
DPZ,233.32982897781835,127.85259674830664
DRE,27.338329476310737,11.412123796344558
DXC,40.936420604601196,21.82081633288086
FB,172.53134580270316,79.92263885802699
GOOG,1187.1460316178848,648.5268793907222
GPC,86.93105621599427,16.78703680719733
HIG,45.11263443183712,10.61461077218809
HST,15.764789575227445,2.2352699580148347
JPM,89.03740884928465,34.6603039840201
KR,29.113567421415294,6.273940373306496
PG,91.58741922032938,28.06265605756766
PPL,25.474726671336562,2.8115151103212743
PRU,75.37017778738472,15.513071693946607
RE,199.38914149374966,40.565835986766416
ROL,20.611861443075913,9.506536554693497
ROST,75.96381813818981,27.43547127897565
UNH,213.81406252764816,107.73918139095454
URI,148.85239976066566,81.59903097054821
V,128.23391465645696,59.5814157268591
VRSK,115.70828539804427,48.346015408812946
XOM,59.329264928498304,9.504113443024268
IVV,260.69344781171327,84.2827969617761
IWM,142.45233235373203,37.59835143675639
EWU,27.799294396081937,2.654808165496367
EWG,25.915668726667953,3.5778206957297107
EWL,33.284168572197,7.0187553080750265
EWQ,25.963241427698986,5.03710431317199
IEUS,46.15612161264597,10.123930544834023
EWJ,51.319277706389094,8.537689974603904
EWT,34.85462146034203,12.3484352960324
MCHI,55.74660547239657,12.989333856114706
INDA,30.738355346104306,5.9946344861600505
EWY,59.87941289485143,12.71263905866219
EWA,18.225701210197577,2.9605730845033484
EWH,20.326873195976983,3.104262433441955
EWZ,29.374759513881134,5.827169575412455
EWC,26.224868613755902,4.7040290220658765
IEMG,45.843902676626236,8.503771815081176
LQD,108.69731623232073,13.585844445716265
HYG,70.7706571349201,7.854228969783069
SHY,81.31331585203165,2.862377025552459
IEF,102.71303340527032,9.028157181045659
TLT,121.64730956014994,18.888103931116724
SEGA.L,105.64563420190167,10.297480468035943
IAU,27.028369254393397,4.789216579188608
SLV,17.28856022234178,3.349542846124288
GSG,16.890538686169467,5.192525966820342
ICLN,11.675412026021435,5.611529692699455
IXN,28.10773422622307,14.349695484562757
IGF,37.7342581267922,4.702906915390159
SPMV.L,51.47517630776042,13.392261231573501
MVEU.L,41.76636017641521,5.899997229717944
XLK,72.86732540261383,38.6972994223008
XLF,23.63263415262818,6.684154159664898
XLV,82.78073549410739,22.52494223366167
XLE,52.520038373089676,9.453832657453605
XLY,105.13441096463703,39.17182320495345
XLI,66.48829690669822,17.557084186997514
XLU,47.80117733027863,10.741711018775044
XLP,51.026332522699576,10.288840997860946
XLB,53.45896973642616,13.725588087099364
