,scale_,min_
ABBV,0.017390395213820183,-1.5786435353747907
ACN,0.005766539066650157,-1.3822476017830638
AEP,0.03331928421701259,-2.2181275290315927
AIZ,0.016995038553979883,-1.8732094427282617
ALLE,0.019159601820521767,-1.8013217102333143
AMAT,0.013058233338872354,-1.171490396023028
AMP,0.007679763832262619,-1.5028715474364953
AMZN,0.011612851066704543,-1.166615378907563
AVB,0.012929053162287478,-2.2781527883597494
AVY,0.01056274019426176,-1.3745311052418923
AXP,0.013217335430071385,-1.6146332235300478
BDX,0.011517652266057134,-2.1071123558964393
BF-B,0.040142209116984406,-2.182438763545721
BMY,0.06418941047600543,-3.3838827634326734
BR,0.013141755918644176,-1.4022308058482076
CDW,0.01088975680070025,-1.2527765646903695
CE,0.015546271661940706,-1.677099245423693
CHTR,0.002844221930988255,-1.3351346753362718
CNC,0.027764282413698098,-1.3863399887274857
CNP,0.11801558210497975,-2.3443808620849547
COP,0.02783299365031696,-1.5835856591133015
CTAS,0.0049333990934194135,-1.2501579843598918
DG,0.010632241238116834,-1.5271871799531895
DPZ,0.0040302363662046824,-1.2613542113221132
DRE,0.03800340900483226,-1.4684401755169956
DXC,0.02401822018166262,-1.219277717611235
FB,0.00613421678684921,-1.3443749266696858
GOOG,0.0007927138450105088,-1.3893821631643526
GPC,0.02190046959056672,-2.031383092884929
HIG,0.041579810418530636,-2.0309636303946883
HST,0.18059426621609495,-2.633707659655892
JPM,0.01578697365701134,-1.675892998423826
KR,0.06456752744305877,-2.1680086009905177
PG,0.018656031168917307,-2.045116852660132
PPL,0.1272024536587798,-3.104593719820418
PRU,0.023836057274041922,-1.8294308530294083
RE,0.011327280427320686,-2.4079866090030153
ROL,0.05893140628581959,-1.4347649077080795
ROST,0.019578662981227936,-1.5651636453138156
UNH,0.004583388510679531,-1.3022222853209002
URI,0.005723279301669277,-1.2480469258076496
V,0.009862253166917594,-1.4583208500459839
VRSK,0.011517980697768784,-1.6365535866380458
XOM,0.03744349423858344,-2.020207808650581
IVV,0.006251533705755048,-1.9805163744328715
IWM,0.013037307645577442,-2.138296748048549
EWU,0.1238928433526648,-3.230548520175642
EWG,0.11203206630706464,-2.868158125459555
EWL,0.0712983408171333,-2.7061886282051155
EWQ,0.097520145262399,-2.7691306985861024
IEUS,0.04757712073426708,-2.4418144040557
EWJ,0.056336139423692706,-3.0817955425198766
EWT,0.041397549458491396,-1.8055117878331375
MCHI,0.03169756721195833,-2.0346768923436387
INDA,0.06822510531832919,-2.308917607938966
EWY,0.0354917452217899,-2.3440000552392277
EWA,0.1453933342993166,-2.6803497506584515
EWH,0.1520233662623346,-3.104443283953846
EWZ,0.07128543546278689,-1.9613063711949397
EWC,0.08733708981924904,-2.424597822486425
IEMG,0.05351289909321476,-2.568153166139206
LQD,0.04535543017188743,-5.063018067670847
HYG,0.06581525412324495,-4.633680205110284
SHY,0.24958797761035584,-20.466468375436897
IEF,0.06036620778241045,-6.303210408970554
TLT,0.02567399576533421,-3.2818463017483888
SEGA.L,0.04733727810650889,-4.907692452154217
IAU,0.04185851593594087,-1.8497278415640865
SLV,0.12666244489118358,-2.4198860120619567
GSG,0.07581500693212372,-1.6012129919572327
ICLN,0.07695746265306136,-1.5250325820775612
IXN,0.03798935693987893,-1.4786542460436327
IGF,0.09660893584010054,-3.618031623889101
SPMV.L,0.038066234586016774,-2.2249714405949126
MVEU.L,0.0736919640538592,-3.186440579100253
XLK,0.013833365580263074,-1.432834887179765
XLF,0.07416527323625519,-2.0437278868588025
XLV,0.021805478370242125,-2.0627334223206866
XLE,0.03833304958818447,-1.806514310936696
XLY,0.01297775628988174,-1.7291407991555032
XLI,0.03138446302426961,-2.3339294702004194
XLU,0.050015246747610924,-2.5280950122553514
XLP,0.046968100736026606,-2.60215325406893
XLB,0.03515736954359285,-2.151842675921298
