,scale_,min_
ABBV,0.019540115119740267,-1.650172836889004
ACN,0.005766538686100109,-1.382247620552674
AEP,0.03329847170933803,-2.216117362682896
AIZ,0.01699504075758838,-1.8732095559502318
ALLE,0.019082032415812206,-1.8013219059321255
AMAT,0.013058233257563294,-1.1714903825019156
AMP,0.007679764057248788,-1.5028716207605575
AMZN,0.011612851066704543,-1.166615378907563
AVB,0.012839165095753273,-2.2553617291653394
AVY,0.010562739555844669,-1.374531122898706
AXP,0.014328558049192273,-1.6663073012301608
BDX,0.011517650241882782,-2.1071125128173316
BF-B,0.039346411355170426,-2.1193486222493325
BMY,0.06554146451960433,-3.4340956927283814
BR,0.01307952389094082,-1.4022309094235463
CDW,0.010835604951172579,-1.2415741090448278
CE,0.015546270739979691,-1.677099086660152
CHTR,0.002844221930988255,-1.3351346753362718
CNC,0.028246592252549604,-1.3930513301167058
CNP,0.1180155754637459,-2.3443806738825583
COP,0.029594343315109694,-1.6205164221036816
CTAS,0.0049333990934194135,-1.2501579843598918
DG,0.010632241238116834,-1.5271871799531895
DPZ,0.004018589471477702,-1.2613542850710515
DRE,0.03800341107086158,-1.4684403097120562
DXC,0.02401822018166262,-1.219277717611235
FB,0.00613421678684921,-1.3443749266696858
GOOG,0.0007927138450105088,-1.3893821631643526
GPC,0.02190046501645413,-2.0313827939275297
HIG,0.04157981371610901,-2.03096387077193
HST,0.18059426621609495,-2.633707659655892
JPM,0.015786973181645646,-1.6758929178493118
KR,0.062371704130795375,-2.0602704326730046
PG,0.01879758999556671,-2.0530468801399437
PPL,0.12609055615914036,-3.1045943058337158
PRU,0.02499554713420422,-1.8697779898371678
RE,0.012034238156757814,-2.4598823991830026
ROL,0.05893138889768986,-1.4347648637296355
ROST,0.019578660056698005,-1.5651635608934444
UNH,0.00455118538392814,-1.2941992456126887
URI,0.005723279301669277,-1.2480469258076496
V,0.009862253166917594,-1.4583208500459839
VRSK,0.011495895610405683,-1.636553557299175
XOM,0.04319986579143257,-2.1770493462028977
IVV,0.00625153400392457,-1.9805165165898502
IWM,0.01303730894235637,-2.138297060204801
EWU,0.12526490681730976,-3.2552509488860655
EWG,0.11203210221630126,-2.868158937937859
EWL,0.07129833596917468,-2.706188376201368
EWQ,0.09752012712317598,-2.7691299975093955
IEUS,0.04757712073426708,-2.4418144040557
EWJ,0.056336151530631214,-3.0817964197196304
EWT,0.04139754455539358,-1.805511455550215
MCHI,0.03169756146281518,-2.0346765837626175
INDA,0.06822510087929502,-2.3089173926458084
EWY,0.03549174762440843,-2.344000281611767
EWA,0.1453933443792837,-2.6803500058132324
EWH,0.1520233552421023,-3.104442986421174
EWZ,0.07128544273209378,-1.9613064012407189
EWC,0.08733709709365536,-2.424598107725103
IEMG,0.053512893631273845,-2.5681528019458604
LQD,0.0451496240947263,-5.035507035080416
HYG,0.06581527890914109,-4.633682828873974
SHY,0.24958678944923032,-20.466368088720305
IEF,0.06036620778241045,-6.303210408970554
TLT,0.025345301991133436,-3.2270283304406897
SEGA.L,0.04733727810650889,-4.907692452154217
IAU,0.04185851593594087,-1.8497278415640865
SLV,0.12666244489118358,-2.4198860120619567
GSG,0.07581500693212372,-1.6012129919572327
ICLN,0.07695746406508376,-1.525032628407084
IXN,0.03798935349904319,-1.4786540215428041
IGF,0.0977262697785824,-3.6483107442175826
SPMV.L,0.03788596259356631,-2.2096987971744504
MVEU.L,0.0725689368774213,-3.122641403664573
XLK,0.013797510127967401,-1.432834772942471
XLF,0.07377202143658858,-2.043727948926586
XLV,0.021713810071503976,-2.062733308177373
XLE,0.037907950910140625,-1.8065144168111837
XLY,0.012947813068517205,-1.7291406154804663
XLI,0.03124727332543442,-2.333929248307972
XLU,0.04891748346956149,-2.4782726013649814
XLP,0.0456953681633615,-2.5308589810231323
XLB,0.03491569262219125,-2.15184238603708
